TB Dst Saw	TB-303 Distored Sawtooth
Toy Gun 3	Toy Gun 3
Emergency	Emergency
Buzzer	Buzzer
Insect	Insect
Tonality	Tonality
Ring Osc	Ring Oscillator
Reso FX	Resonant Effects
SCRATCH MENU	≡ SCRATCH MENU
Vinyl Noise	Vinyl Noise
Scratch BD f	Scratch Bass Drum forward
Scratch BD r	Scratch Bass Drum rewind
Scratch SD f	Scratch Snare Drum forward
Scratch SD r	Scratch Snare Drum rewind
Scratch ALT	Scratch Alternative
Tape Rewind	Tape Rewind
Vinyl Stop	Vinyl Stop
HIT MENU	≡ HIT MENU
MG Blip	Moog Blip
Beam HiQ	Beam High-Quality
MG Attack	Moog Attack
Air Blip	Air Blip
Org Click	Organ Click
Syn Hit	Synthesizer Hit
Techno Scene	Techno Scene
Techno Chord	Techno Chord
Dist Hit	Distored Hit
Thin Beef	Thin Beef
Tekno Hit	Tekno Hit
Back Hit	Back Hit
TAO Hit	TAO Hit
Philly Hit	Philly Hit
INDUST. MENU	≡ INDUSTRIAL MENU
Analog Bird	Analog Bird
Retro UFO	Retro UFO
PC-2 Machine	PC-2 Machine
Hoo	Hoo
Metal Sweep	Metal Sweep
Afro Feet	Afro Feet
Bomb	Bomb
Bounce	Bounce
ElectricDunk	Electric Dunk
Iron Door	Iron Door
Dist Swish	Distored Sqish
Drill Hit	Drill Hit
Thrill	Thrill
PCM Press	PCM Press
Air Gun	Air Gun
VOICE MENU	≡ VOICE MENU
One!	One!
Two!	Two!
Three!	Three!
Kick it!	Kick it!
Come on!	Come on!
Wao!	Wao!
Shout	Shout
Ooh! 1	Ooh! 1
Ooh! 2	Ooh! 2
Voice loop	∞ Voice Loop
Pa!	Pa!
Canvas	Canvas
Punch	Punch
Chiki!	Chiki!
Hey!	Hey!
Laugh	Laugh
Aah Formant	Aah Formant
Eeh Formant	Eeh Formant
Iih Formant	Iih Formant
Ooh Formant	Ooh Formant
Uuh Formant	Uuh Formant
Dist Ooh Vox	Dist Ooh Vox
Auh Voice	Auh Voice
Stream	Stream
Bird	Bird
TOM MENU	≡ TOM-TOM MENU
TR909 Tom	TR-909 Tom-Tom
TR909 DstTom	TR-909 Distored Tom-Tom
TR808 Tom	TR-808 Tom-Tom
TR606 Tom	TR-606 Tom-Tom
TR606 CmpTom	TR-606 Compressed Tom-Tom
TR707 Tom	TR-707 Tom-Tom
Syn Tom	Synthesized Tom-Tom
Deep Tom	Deep Tom-Tom
Can Tom	Can Tom-Tom
Kick Tom	Kick Tom-Tom
Natural Tom	Natural Tom-Tom
PERCUS MENU1	≡ PERCUSSIONS MENU 1
PERCUS MENU2	≡ PERCUSSIONS MENU 2
TR808 Conga	TR-808 Conga
HiBongo Open	High Bongo Open
LoBongo Open	Low Bongo Open
HiConga Mute	High Conga Muted
HiConga Open	High Conga Open
LoConga Open	Low Conga Open
HiBongo LoFi	High Bongo Low Fidelity
LoBongo LoFi	Low Bongo Low Fidelity
HiCnga Mt LF	High Conga Muted Low Fidelity
HiCnga Op LF	High Conga Open Low Fidelity
LoConga LoFi	Low Conga Low Fidelity
Timpani	Timpani
Mute Surdo	Muted Surdo
Open Surdo	Open Surdo
Hi Timbale	High Timbale
Lo Timbale	Low Timbale
HiTimbale LF	High Timbale Low Fidelity
LoTimbale LF	Low Timbale Low Fidelity
Tabla	Tabla
TablaBaya	Tabla Baya
Udo	Udo
AfroDrum Rat	Afro Drum Rattle
Chenchen	Chenchen
Op Pandeiro	Open Pandeiro
Mt Pandeiro	Muted Pandeiro
Tambourine 1	Tambourine 1
Tambourine 2	Tambourine 2
Tambourine 3	Tambourine 3
Tambourine 4	Tambourine 4
CR78 Tamb	CR-78 Tambourine
COWBELL MENU	≡ COWBELL MENU
TR808Cowbell	TR-808 Cowbell
TR707Cowbell	TR-707 Cowbell
CR78 Cowbell	CR-78 Cowbell
Cowbell	Cowbell
TR727 Agogo	TR-707 Agogo
CR78 Beat	CR-78 Beat
Triangle 1	Triangle 1
Triangle 2	Triangle 2
